batter,b_called_strike,b_swinging_strike,poorlyweak_percent
669720,365,223,4.7
669952,21,13,25
670032,406,148,7.1
670042,36,56,4.9
670084,32,26,0
670097,160,92,4.9
670351,125,90,4.2
670370,74,89,6.4
670541,465,234,3
670623,81,21,4.8
670712,121,100,3
670764,148,80,4.8
670768,8,5,0
670770,23,8,3.3
670912,16,15,18.2
671277,122,108,4.1
672284,240,189,6
672386,147,65,0.7
672695,26,14,8
672701,21,24,0
672779,39,13,0
673357,85,167,2.8
673451,149,76,6.5
673490,256,114,4.5
675649,6,4,25
675656,12,24,0
676391,96,35,7.6
676480,29,37,0
676646,6,9,0
676694,119,88,4
676701,31,26,3.1
676801,228,212,3.2
676840,14,11,16.7
677551,157,89,3.3
677960,24,11,25
680686,20,17,36.4
680776,58,77,2.9
680777,206,190,3.1
680911,135,96,5.8
683734,334,202,1.9
